Channel #,Time(s),SPR pixel position,SPR angle,Refractive Index
1,1006.0549,75.892352,68.6161696504122,1.32869835407465
1,1008.0297,78.0750592,68.482423078958,1.3275763715103
1,1009.0935,78.5893952,68.4509505873854,1.3273112976829
1,1011.0682,79.6955648,68.3833199898165,1.32674032047953
1,1013.0429,79.8605632,68.3732386903137,1.3266550483322
1,1015.0176,80.4387648,68.3379244781361,1.32635601708726
1,1016.0923,80.6049088,68.3277809737163,1.32627003024288
1,1018.0671,80.8918976,68.310263692933,1.326121436354
1,1020.0418,81.0202048,68.3024337316037,1.32605497642772
1,1022.0056,81.1364928,68.2953381399,1.32599472803216
1,1023.0803,81.256544,68.2880138218711,1.32593251585645
1,1025.55,81.302208,68.2852281019257,1.32590884839121
1,1027.0298,81.4412736,68.2767452524657,1.32583675850888
1,1029.0045,81.5225984,68.2717850936094,1.32579459184694
1,1030.0792,81.5861952,68.2679064907227,1.32576161252556
1,1032.43,81.6325248,68.2650811298442,1.32573758490948
1,1034.0177,81.73168,68.2590347112279,1.32568615354097
1,1035.0924,81.7557312,68.2575681783422,1.32567367681824
1,1037.0672,81.8346624,68.2527555686616,1.32563272669051
1,1039.0419,81.8410112,68.2523684853632,1.32562943261442
1,1041.0166,81.8648832,68.2509130436858,1.3256170462647
1,1042.82,81.8642624,68.2509508925183,1.32561736838337
1,1044.0567,81.9209664,68.2474938725894,1.32558794441949
1,1046.0314,81.9339648,68.2467014398085,1.32558119904092
1,1048.0061,81.9401152,68.2463264913287,1.32557800729917
1,1049.0808,81.9981632,68.2427878130516,1.32554788151885
1,1051.0446,81.9698624,68.2445130384813,1.32556256950008
1,1053.0194,81.961568,68.2450186772119,1.32556687410379
1,1055,82.0074432,68.2422221124046,1.32554306506972
1,1057,81.9922048,68.2431510347429,1.32555097396631
1,1058,82.0083648,68.2421659327746,1.32554258674183
1,1060,82.0252736,68.2411352021229,1.32553381060413
1,1064,82.0163264,68.2416806054229,1.32553845448524
1,1065,82.0287488,68.2409233622878,1.32553200684348
1,1067,82.0216448,68.2413564058572,1.32553569407622
1,1069,82.0482816,68.2397327039369,1.32552186835616
1,1071,82.0421824,68.2401044894959,1.32552503418267
1,1072,82.0530752,68.2394405047606,1.32551938018329
1,1074,82.0465024,68.2398411574044,1.32552279186446
1,1076,82.0533056,68.2394264605109,1.32551926059096
1,1077,82.052576,68.2394709339797,1.32551963929982
1,1079,82.0482112,68.2397369952574,1.32552190489792
1,1081,82.0501888,68.2396164482834,1.32552087840494
1,1083,82.0456192,68.2398949940919,1.32552325029547
1,1084,82.0660864,68.2386474000129,1.32551262645625
1,1086.11,82.0537408,68.2393999324928,1.3255190346942
1,1088,82.0574272,68.239175225054,1.3255171212082
1,1091,82.0564096,68.2392372535843,1.32551764941141
1,1092.99,82.0742272,68.2381511785647,1.32550840072358
1,1095,82.0663552,68.2386310152757,1.32551248692839
1,1096,82.0666432,68.2386134602052,1.32551233743418
1,1098,82.076608,68.2380060579874,1.32550716488367
1,1100,82.0649216,68.2387184005932,1.32551323107614
1,1102,82.0873536,68.2373510692903,1.32550158692333
1,1103.41,82.090848,68.2371380727477,1.32549977298181
1,1105,82.0774784,68.2379530032419,1.32550671306982
1,1107,82.0782336,68.2379069704867,1.32550632105426
1,1110,82.1048128,68.2362868744699,1.32549252373923
1,1112,82.0779136,68.237926475887,1.32550648716262
1,1114,82.0980864,68.2366968680726,1.32549601549298
1,1115,82.0967104,68.2367807396177,1.32549672978531
1,1117,82.0928064,68.2370187013956,1.32549875637193
1,1119,82.0623104,68.2388775670401,1.32551458648288
1,1121,82.0823424,68.2376565217197,1.32550418821391
1,1122,82.0851392,68.2374860455198,1.32550273641113
1,1124.19,82.0950272,68.2368833361353,1.325497603545
1,1126,82.1059392,68.2362182173994,1.32549193900729
1,1129,82112,68.2358487969219,1.32548879272914
1,1131,82.112448,68.2358214903259,1.32548856016225
1,1133,82.0901952,68.2371778632521,1.32550011185093
1,1135,82.076928,68.2379865525607,1.32550699877573
1,1136,82.1158208,68.2356159110739,1.32548680925944
1,1138,82.1009216,68.2365240540559,1.32549454371262
1,1140,82.106752,68.2361686751312,1.32549151706925
1,1141,82.1062784,68.2361975422745,1.32549176292299
1,1143,82.1232128,68.235165355639,1.32548297185232
1,1145,82.090976,68.2371302706911,1.32549970653684
1,1147,82.0971136,68.2367561632921,1.32549652048124
1,1149,82.1151872,68.2356545302714,1.32548713817753
1,1150,82.1224896,68.2352094358022,1.32548334728935
1,1152,82.0954944,68.236854858757,1.32549736101883
1,1154,82.1066752,68.2361733562886,1.32549155693744
1,1156,82.1016064,68.2364823135003,1.32549418822497
1,1157,82.1134336,68.2357614158593,1.3254880485144
1,1159,82.1042944,68.236318472353,1.3254927928484
1,1160.85,82.1090368,68.2360294108681,1.32549033098795
1,1162,82.100576,68.2365451193943,1.32549472311742
1,1164,82.122016,68.2352383024757,1.32548359315049
